content,nFixations,FFD,TRT,GPT,GD,nFixations_avg,FFD_avg,TRT_avg,GPT_avg,GD_avg
Presents,1,232,232,232,232,2.6666666666666665,134.58333333333334,381.1666666666667,161.25,161.25
a,1,83,83,315,83,[],[],[],[],[]
good,3,96,272,96,96,[],[],[],[],[]
case,2,106,209,298,106,[],[],[],[],[]
while,3,58,309,912,58,[],[],[],[],[]
failing,5,87,523,440,440,[],[],[],[],[]
to,2,77,198,77,77,[],[],[],[],[]
provide,3,113,269,113,113,[],[],[],[],[]
reason,4,119,377,189,189,[],[],[],[],[]
for,2,151,226,226,226,[],[],[],[],[]
us,[],[],[],[],[],[],[],[],[],[]
care,2,83,251,1385,83,[],[],[],[],[]
beyond,1,105,105,105,105,[],[],[],[],[]
the,[],[],[],[],[],[],[],[],[],[]
very,1,106,106,106,106,[],[],[],[],[]
basic,1,115,115,115,115,2.0833333333333335,109.16666666666667,256.0833333333333,205.91666666666666,129.58333333333334
dictums,4,87,301,416,152,[],[],[],[],[]
of,[],[],[],[],[],[],[],[],[],[]
human,1,254,254,254,254,[],[],[],[],[]
decency.,[],[],[],[],[],[],[],[],[],[]
Beautifully,3,89,314,214,214,[],[],[],[],[]
"crafted,",4,70,334,70,70,2.8333333333333335,121.25,352.0,215.83333333333334,184.5
engaging,4,99,436,99,99,[],[],[],[],[]
filmmaking,4,122,429,316,122,[],[],[],[],[]
that,1,156,156,156,156,[],[],[],[],[]
should,1,107,107,107,107,[],[],[],[],[]
attract,3,85,323,323,323,[],[],[],[],[]
upscale,1,134,134,134,134,[],[],[],[],[]
audiences,4,71,599,502,502,[],[],[],[],[]
hungry,4,95,404,461,95,1.9166666666666667,146.08333333333334,255.33333333333334,183.66666666666666,153.16666666666666
quality,3,193,524,628,193,[],[],[],[],[]
and,1,99,99,99,99,[],[],[],[],[]
"nostalgic,",5,89,550,785,241,[],[],[],[],[]
twisty,2,142,254,142,142,[],[],[],[],[]
yarn,[],[],[],[],[],[],[],[],[],[]
will,[],[],[],[],[],[],[],[],[],[]
keep,2,67,160,304,67,[],[],[],[],[]
them,2,143,260,355,143,[],[],[],[],[]
guessing.,2,160,238,1524,160,[],[],[],[],[]
"Bread,",1,85,85,85,85,[],[],[],[],[]
My,2,109,175,109,109,[],[],[],[],[]
Sweet,4,62,383,643,62,3.1666666666666665,123.5,353.6666666666667,344.75,130.41666666666666
has,[],[],[],[],[],[],[],[],[],[]
so,1,126,126,126,126,[],[],[],[],[]
many,1,137,137,137,137,[],[],[],[],[]
flaws,1,103,103,103,103,[],[],[],[],[]
it,1,84,84,84,84,[],[],[],[],[]
would,2,138,228,138,138,[],[],[],[],[]
be,[],[],[],[],[],[],[],[],[],[]
easy,3,75,241,169,169,[],[],[],[],[]
critics,[],[],[],[],[],[],[],[],[],[]
shred,3,64,197,856,64,2.0833333333333335,140.41666666666666,258.9166666666667,930.9166666666666,168.16666666666666
it.,1,225,225,225,225,[],[],[],[],[]
"Slow,",1,78,78,78,78,[],[],[],[],[]
silly,2,111,221,111,111,2.6666666666666665,113.25,333.8333333333333,242.16666666666666,160.66666666666666
unintentionally,7,104,1060,104,104,5.416666666666667,173.0,802.5,440.6666666666667,291.6666666666667
hilarious.,4,95,490,1777,95,[],[],[],[],[]
Ultimately,5,84,744,445,445,3.75,118.83333333333333,488.25,198.25,198.25
feels,5,64,596,64,64,[],[],[],[],[]
emp11111ty,11,87,1129,774,227,7.25,103.58333333333333,919.5,616.6666666666666,286.4166666666667
"unsatisfying,",5,90,532,240,240,3.8333333333333335,134.08333333333334,502.9166666666667,592.8333333333334,286.5
like,1,59,59,803,59,[],[],[],[],[]
swallowing,7,126,839,839,839,[],[],[],[],[]
Communion,2,76,174,174,174,3.0,92.91666666666667,312.0,1153.5,122.66666666666667
wafer,1,98,98,98,98,1.3333333333333333,132.25,174.75,203.33333333333334,136.83333333333334
without,[],[],[],[],[],[],[],[],[],[]
wine.,1,90,90,919,90,[],[],[],[],[]
Exudes,5,130,599,266,266,[],[],[],[],[]
fizz,1,108,108,108,108,[],[],[],[],[]
Busby,4,125,764,844,125,2.6666666666666665,121.08333333333333,346.5833333333333,310.0833333333333,150.08333333333334
Berkeley,3,142,369,475,142,2.1666666666666665,128.83333333333334,274.4166666666667,269.4166666666667,172.91666666666666
musical,1,156,156,156,156,1.625,112.91666666666667,190.75,159.66666666666666,140.29166666666666
visceral,2,153,433,153,153,[],[],[],[],[]
excitement,4,59,413,846,59,3.0,94.5,331.3333333333333,385.5833333333333,117.5
sports,2,87,168,87,87,1.75,126.16666666666667,211.58333333333334,147.41666666666666,141.83333333333334
extravaganza.,1,51,51,469,51,2.75,126.75,362.4166666666667,1342.5833333333333,248.66666666666666
The,[],[],[],[],[],[],[],[],[],[]
film,1,101,101,101,101,[],[],[],[],[]
rehashes,3,94,379,480,94,3.3333333333333335,121.33333333333333,399.9166666666667,283.1666666666667,251.0
several,4,132,517,132,132,[],[],[],[],[]
old,1,82,82,187,82,[],[],[],[],[]
themes,4,183,492,574,183,1.9565217391304348,116.82608695652173,239.3913043478261,234.30434782608697,165.95652173913044
is,2,134,241,134,134,[],[],[],[],[]
capped,3,146,397,587,146,2.0,108.83333333333333,224.91666666666666,210.58333333333334,159.08333333333334
with,1,87,87,87,87,[],[],[],[],[]
pointless,3,104,313,104,104,2.5,117.5,308.1666666666667,241.91666666666666,171.08333333333334
extremes,3,86,268,581,86,2.4166666666666665,155.33333333333334,373.75,394.25,195.33333333333334
--,[],[],[],[],[],[],[],[],[],[]
it's,[],[],[],[],[],[],[],[],[],[]
insanely,4,84,499,504,84,[],[],[],[],[]
violent,2,78,162,78,78,1.8333333333333333,151.75,237.66666666666666,159.16666666666666,159.16666666666666
graphic.,1,154,154,427,154,[],[],[],[],[]
Ryan,[],[],[],[],[],[],[],[],[],[]
Gosling,3,62,229,229,229,2.25,104.0,272.75,189.0,167.75
"is,",[],[],[],[],[],[],[],[],[],[]
in,[],[],[],[],[],[],[],[],[],[]
"word,",1,67,67,67,67,1.5,104.0,154.08333333333334,159.66666666666666,108.33333333333333
brilliant,2,81,183,81,81,[],[],[],[],[]
as,2,198,260,198,198,[],[],[],[],[]
conflicted,7,81,825,260,156,[],[],[],[],[]
Daniel.,1,158,158,1509,158,[],[],[],[],[]
If,[],[],[],[],[],[],[],[],[],[]
